2 -14.99891667  050.31791667 000000  321 050    0.0 AH   ANTALAHA NDB
2  23.14138889  072.69966667 000000  215 025    0.0 AH   AHMEDABAD NDB
2  56.26616667  012.90075000 000000  417 010    0.0 AH   ANGELHOLM NDB
2  41.23916944 -096.59836111 001221  400 025    0.0 AHQ  WAHOO NDB
2  32.15931944 -095.83024167 000455  269 025    0.0 AHX  ATHENS NDB
2 -18.82480000 -159.77343333 000114  320 050    0.0 AI   AITUTAKI NDB
2 -08.70138889  160.68083333 000000  360 050    0.0 AI   AUKI NDB
2  04.84902778  008.08219444 000000  397 025    0.0 AI   AKWA IBOM NDB
2  34.23234722 -096.93310833 000710  400 025    0.0 AI   ADDMO ARDMORE NDB
2  38.29616667 -000.66000000 000000  330 025    0.0 AI   ALICANTE NDB
2  40.06952778 -085.51068611 000968  394 025    0.0 AI   VIDEO ANDERSON NDB
2  33.65180000 -081.67697222 000493  347 025    0.0 AIK  AIKEN NDB
2  46.54830278 -093.67543611 001204  397 025    0.0 AIT  AITKIN NDB
2  60.38528056 -166.21438333 000038  323 025    0.0 AIX  NANWAK MEKORYUK NDB
2  30.74125000  049.68408333 000000  365 050    0.0 AJ   AGHAJARI NDB
2  56.19341667  092.40725000 000000  334 025    0.0 AJ   KRASNOYARSK NDB
2  56.51750000  034.93638889 000700  430 050    0.0 AJ   STARITSA NDB
2  13.45352778  144.73693333 000659  385 050    0.0 AJA  MOUNT MACAJNA GUAM NDB
2  07.22711389  005.29217778 000000  276 025    0.0 AK   AKURE NDB
2  25.63018889  051.50732778 000000  345 010    0.0 AK   AL KHOR NDB
2  34.52777778  136.69666667 000000  380 050    0.0 AK   AKENO NDB
2  34.58395833  033.01253611 000092  365 025    0.0 AK   AKROTIRI NDB
2  41.06973333 -081.38736667 001149  362 025    0.0 AK   AKRON NDB
2  04.63025556  114.37173056 000060  250 050    0.0 AKI  ANDUKI NDB
2  68.13662500 -151.74422778 002087  348 200    0.0 AKP  ANAKTUVUK PASS NDB
2  36.98281944 -077.00097222 000105  274 025    0.0 AKQ  WAKEFIELD NDB
2  68.67838889  027.61462778 000000  432 010    0.0 AKU  AKUJARVI IVALO NDB
2  55.56862222 -133.08139722 000030  229 050    0.0 AKW  KLAWOCK NDB
2 -17.82555556  177.38694444 000000  385 025    0.0 AL   MALOLO NADI NDB
2 -06.19396111  107.04002500 000000  215 050    0.0 AL   HALIM PERDANAKUSUMA JAKARTA NDB
2  05.56917778 -000.18178056 000126  258 010    0.0 AL   ACCRA NDB
2  18.31549722  109.50658889 000000  205 010    0.0 AL   SANYA NDB
2  38.85500833 -089.93806111 000000  218 025    0.0 AL   ALPOS ALTON-ST LOUIS NDB
2  41.03086111 -005.44694444 000000  359 010    0.0 AL   MATACAN SALAMANCA NDB
2  42.81730556 -073.80850000 000000  219 025    0.0 AL   HAWKY ALBANY NDB
2  46.17556667 -118.19635833 001443  353 025    0.0 AL   TRINA WALLA WALLA NDB
2  53.68027778  041.67972222 000250  694 050    0.0 AL   ALGASOVO NDB
2  56.96763889  040.85597222 000000  326 010    0.0 AL   YUZHNY IVANOVO NDB
2  61.70083333  096.47583333 000500  326 050    0.0 AL   BAYKIT NDB
2  69.99228889  023.29316111 000000  358 050    0.0 ALA  ALTA NDB
2  35.93805556 -003.03527778 000000  519 050    0.0 ALB  ALBORAN NDB
2  49.70886944 -002.19977222 000000  383 025    0.0 ALD  ALDERNEY NDB
2  36.18599722  037.22329722 001276  396 025    0.0 ALE  ALEPPO NDB
2 -25.36805556 -054.76166667 000000  293 050    0.0 ALG  CIUDAD DEL ESTE NDB
2  47.99738056  010.26218889 000000  341 050    0.0 ALG  ALLGAEU MEMMINGEN NDB
2  30.16694444  031.38500000 000000  310 025    0.0 ALI  CAIRO NDB
2  31.99375000  044.39983333 000000  275 025    0.0 ALI  AL-ASHRAF AL NAJAF NDB
2  60.47982222 -146.58743056 000031  233 050    0.0 ALJ  ORCA BAY HINCHINBROOK NDB
2  43.50777778  005.36686111 000343  413 010    0.0 ALM  AIX LES MILLES NDB
2  40.85583333  025.94086944 000000  351 010    0.0 ALP  ALEXANDROUPOLIS NDB
2  42.23869722 -076.76405000 001287  245 025    0.0 ALP  ALPINE ELMIRA NDB
2  30.32036111 -009.31952778 000000  396 025    0.0 ALS  AL-MASSIRA AGADIR NDB
2  35.18116667 -003.84455833 000000  401 050    0.0 ALU  AL HOCEIMA NDB
2  06.05769167  037.60235000 000000  275 050    0.0 AM   ARBA MINCH NDB
2  20.98875833  105.86138611 000000  294 050    0.0 AM   GIALAM HANOI NDB
2  35.14646389 -101.80554722 003609  251 050    0.0 AM   PANDE AMARILLO NDB
2  36.87583333 -002.23991667 000000  284 010    0.0 AM   ALMERIA NDB
2  55.62280556  049.23605556 000410  475 025    0.0 AM   KAZAN NDB
2  61.34416667  073.50486111 000000  325 010    0.0 AM   SURGUT NDB
2 -27.64876111  152.72350833 000237  359 050    0.0 AMB  AMBERLEY NDB
2 -01.21333333 -078.57666667 000000  360 050    0.0 AMB  AMBATO NDB
2  47.41816667  001.04100000 000397  341 050    0.0 AMB  AMBOISE NDB
2  67.10524167 -157.86015000 000258  403 050    0.0 AMF  AMBLER NDB
2  30.32361111 -009.45463889 000000  402 025    0.0 AML  AL-MASSIRA AGADIR NDB
2  37.77583333  021.34722222 000000  367 200    0.0 AML  AMALIAS NDB
2  36.84836111 -002.37916667 000000  310 050    0.0 AMN  ALMERIA NDB
2  02.06883333 -050.86050000 000000  275 050    0.0 AMP  AMAPA NDB
2  38.85541389 -083.56377500 000886  359 025    0.0 AMT  WEST UNION NDB
2 -09.75241667 -139.00122222 001469  294 050    0.0 AN   ATUONA NDB
2  08.30983333  080.43783333 000000  415 050    0.0 AN   ANURADHAPURA NDB
2  15.55622222  044.22013889 007237  228 025    0.0 AN   SANAA INTL NDB
2  19.77000833  094.02938056 000000  385 200    0.0 AN   ANN NDB
2  29.60762500 -098.56970000 000960  368 025    0.0 AN   ALAMO SAN ANTONIO NDB
2  33.53433889 -085.93126944 000590  211 025    0.0 AN   BOGGA ANNISTON NDB
2  40.06100000  032.93266667 000000  285 025    0.0 AN   ESENBOGA ANKARA NDB
2  40.69347222  072.24744444 000000  422 025    0.0 AN   ANDIZHAN NDB
2  44.96786111  037.30344444 000000  480 025    0.0 AN   ANAPA NDB
2  50.66522222  036.52469444 000000  718 010    0.0 AN   BELGOROD NDB
2  65.63391667  019.14302778 001241  381 025    0.0 AN   ARVIDSJAUR NDB
2 -13.76288889 -065.43202778 000000  345 050    0.0 ANA  SANTA ANA NDB
2  43.58672222  013.47225000 000843  374 200    0.0 ANC  ANCONA NDB
2  39.83026667  044.99248611 000000 1220 050    0.0 AND  ANDRANIK NDB
2  61.59015556 -159.59789167 000088  359 050    0.0 ANI  ANIAK NDB
2  39.95327778  032.82833333 000000  356 050    0.0 ANK  ANKARA NDB
2  49.30889722  010.63157500 001526  452 025    0.0 ANS  ANSBACH NDB
2  62.64145833 -160.18533333 000318  365 050    0.0 ANV  ANVIK NDB
2  12.05866667  008.54175000 001470  340 050    0.0 AO   KANO NDB
2  47.08100000  020.21180556 000000  282 010    0.0 AO   SZOLNOK NDB
2  55.15277778  038.28861111 000500  732 200    0.0 AO   AKSINYINO NDB
2 -38.74321389  176.07428611 001335  230 050    0.0 AP   TAUPO NDB
2  02.04305556  103.30694444 000000  331 050    0.0 AP   KLUANG NDB
2  04.07212500 -073.47882778 000000  270 050    0.0 AP   APIAY NDB
2  14.80000000  106.81666667 000000  212 050    0.0 AP   ATTOPEU NDB
2  25.17569444  121.52236111 000000  250 050    0.0 AP   ANBU NDB
2  25.46305556  081.69944444 000000  328 050    0.0 AP   PRAYAGRAJ NDB
2  39.45196944 -104.84586111 006415  260 025    0.0 AP   CASSE DENVER NDB
2  44.96077222 -083.56008611 000726  206 025    0.0 AP   FELPS ALPENA NDB
2  45.03527778  037.38988889 000000  480 025    0.0 AP   ANAPA NDB
2  48.87387500 -123.29000278 000077  378 025    0.0 AP   ACTIVE PASS NDB
2  51.77691667  039.30138889 000000  289 025    0.0 AP   VORONEZH NDB
2  69.26822222  087.25525000 000594  535 025    0.0 AP   ALYKEL NORILSK NDB
2 -23.61461944 -051.42415000 000000  215 050    0.0 APC  APUCARANA NDB
2  10.87179444 -074.79616944 000095  264 025    0.0 AQ   ERNESTO CORTISSOZBARRANQUILLA NDB
2  25.90536944  049.59607500 000234  290 025    0.0 AQ   ABQAIQ NDB
2  44.21589444 -088.39898611 000754  407 010    0.0 AQ   KOOKY APPLETON NDB
2  29.90228056  035.11899722 000000  326 050    0.0 AQC  KING HUSSEIN NDB
2  35.70688889 -077.37187500 000039  230 025    0.0 AQE  ALWOOD GREENVILLE NDB
2  45.22846111 -096.00954722 001018  356 025    0.0 AQP  APPLETON NDB
2 -34.82344444 -056.00627778 000000  260 025    0.0 AR   CARRASCO MONTEVIDEO NDB
2 -07.66500000  111.43500000 000000  315 050    0.0 AR   ISWAHYUDI MADIUN NDB
2 -03.36809722  036.62045556 000000  391 050    0.0 AR   ARUSHA NDB
2  29.95627778 -091.86334444 000000  269 025    0.0 AR   ACADI NEW IBERIA NDB
2  31.68724722  074.80800278 000000  351 025    0.0 AR   AMRITSAR NDB
2  36.72333333  116.91666667 000000  520 050    0.0 AR   ZHANGZHUANG NDB
2  44.95563889  002.36791667 000000  343 010    0.0 AR   AURILLAC NDB
2  53.38150000  083.61302778 000838  428 050    0.0 AR   BARNAUL NDB
2  55.98333333  036.79916667 000000 1080 200    0.0 AR   BUZHAROVO NDB
2  65.75594444 -018.08961111 000000  334 025    0.0 AR   AKUREYRI NDB
2 -21.13933333 -050.42666667 001394  265 050    0.0 ARA  ARACATUBA NDB
2  38.33061111  048.41511111 000000  355 025    0.0 ARB  ARDABIL NDB
2  46.18400000  021.14488889 000000  517 050    0.0 ARD  ARAD NDB
2 -22.16888889 -049.06972222 002060  340 050    0.0 ARE  AREALVA NDB
2  40.73172222  030.08761111 000000  384 025    0.0 ARF  ARIFIYE NDB
2 -08.35366667 -049.29916667 000854  230 050    0.0 ARG  ARAGUAIA CONCEICAO DO- NDB
2  39.64580556  043.02708333 000000  289 050    0.0 ARI  AGRI NDB
2  34.13447222  049.84866667 000000  280 050    0.0 ARK  ARAK NDB
2  18.78333333  007.36666667 000000  293 025    0.0 ARL  ARLIT NDB
2 -30.52730000  151.61502222 003631  401 050    0.0 ARM  ARMIDALE NDB
2  29.25464444 -096.15202500 000098  245 025    0.0 ARM  WHARTON NDB
2  45.92676389 -089.72852500 001625  221 025    0.0 ARV  ARBOR VITAE MINOCQUA NDB
2 -19.56100000 -046.96466667 000000  210 050    0.0 ARX  ARAXA UBERABA TMA NDB
2 -43.90519444  171.80811667 000346  254 050    0.0 AS   ASHBURTON NDB
2 -23.77793889  133.87352500 000000  335 050    0.0 AS   ALICE SPRINGS NDB
2 -06.55000000  106.76666667 000000  398 010    0.0 AS   ATANG SENDJAJA BOGOR NDB
2 -02.09458889  125.96379167 000007  397 050    0.0 AS   EMALAMO SANANA NDB
2  03.51990000 -076.38573056 003156  240 025    0.0 AS   ALFONSO BONILLA ARAGON INTL NDB
2  15.28159167  038.88507778 000000  305 200    0.0 AS   ASMARA NDB
2  16.95632500  007.97484444 000000  340 025    0.0 AS   AGADEZ NDB
2  21.95435278  096.40260833 000000  345 050    0.0 AS   ANISAKAN NDB
2  42.82338611 -071.60221111 000217  359 025    0.0 AS   CHERN NASHUA NDB
2  43.83316111  018.30873889 001677  381 010    0.0 AS   SARAJEVO NDB
2  47.57725000 -000.15144444 000000  392 010    0.0 AS   ANGERS NDB
2  65.56216667  019.36761111 001240  358 010    0.0 AS   ARVIDSJAUR NDB
