ACFT_ID,Flap_ID,R,Start CAS (kt),Comment
DC850,D-50,0.149354,145.6,
DC860,ZERO,0.05319,250,
DC860,INT,0.071703,161.5,
DC860,D-35,0.117758,155.7,
DC860,D-50,0.130913,151.5,
DC870,ZERO,0.05319,250,
DC870,INT,0.071703,166.7,
DC870,D-35,0.117758,150.8,
DC870,D-50,0.130913,146.7,
DC8QN,ZERO,0.05319,250,
DC8QN,INT,0.071703,161.5,
DC8QN,D-35,0.117758,155.7,
DC8QN,D-50,0.130913,151.5,
DC910,ZERO,0.075935,250,
DC910,5,0.07757,150.2,
DC910,U-15,0.087963,140.2,
DC910,D-35,0.134177,130.2,
DC930,ZERO,0.068416,250,
DC930,5,0.084985,162.5,
DC930,U-15,0.092489,152.5,
DC930,D-35,0.135075,142.5,
DC93LW,ZERO,0.068416,250,
DC93LW,5,0.084985,162.5,
DC93LW,U-15,0.092489,152.5,
DC93LW,D-35,0.135075,142.5,
DC950,ZERO,0.068416,250,
DC950,5,0.084985,167.3,
DC950,U-15,0.092489,157.3,
DC950,D-35,0.135234,147.3,
DC95HW,ZERO,0.068416,250,
DC95HW,5,0.084985,167.3,
DC95HW,U-15,0.092489,157.3,
DC95HW,D-35,0.135234,147.3,
DC9Q7,ZERO,0.075935,250,
DC9Q7,5,0.07757,150.2,
DC9Q7,U-15,0.087963,140.2,
DC9Q7,D-35,0.134177,130.2,
DC9Q9,ZERO,0.068416,250,
DC9Q9,5,0.084985,162.5,
DC9Q9,U-15,0.092489,152.5,
DC9Q9,D-35,0.135075,142.5,
DHC6,ZERO,0.075,120,
DHC6,INTR,0.090222,80.7,
DHC6,D-INTR,0.125975,70.7,
DHC6,D-L,0.176949,60.7,
DHC6QP,ZERO,0.075,120,
DHC6QP,INTR,0.090222,80.7,
DHC6QP,D-INTR,0.125975,70.7,
DHC6QP,D-L,0.176949,60.7,
DHC7,ZERO,0.075,160,
DHC7,10,0.117133,116.2,
DHC7,D-INTR,0.117133,106.2,
DHC7,D-25,0.127688,96.2,
DHC8,ZERO,0.072424,165,
DHC8,5,0.07808,109,
DHC8,D-15,0.092335,96,
DHC8,D-35,0.10086,89,
DHC830,ZERO,0.068308,179,
DHC830,10,0.076309,128,
DHC830,D-15,0.094958,116.9,
DHC830,D-35,0.103483,108,
DO228,ZERO-A,0.10717,200,
DO228,F30APP,0.11911,100,
DO328,ZERO-A,0.0916,200,
DO328,F32APP,0.0961,109,
ECLIPSE500,A_T_DN,0.178304,170,
ECLIPSE500,A_A_DN,0.133462,100.4,
EMB120,ZERO,0.0834,141.5,
EMB120,15,0.1014,132.3,
EMB120,D-25,0.0801,127.4,
EMB120,D-45,0.1305,119.3,
EMB145,ZERO,0.0691,250,
EMB145,D-22,0.1291,150,
EMB145,D-45,0.1809,140,
EMB14L,ZERO,0.0694,250,
EMB14L,D-22,0.1291,140,
EMB14L,D-45,0.1809,140,
EMB170,ZERO,0.06618,250,Clean
EMB170,1,0.07683,210,Placard - 20kt
EMB170,FULL,0.14555,130,
EMB175,ZERO,0.066,250,Clean
EMB175,1,0.0773,210,Placard - 20kt
EMB175,FULL,0.1458,130,
EMB190,ZERO,0.0664,250,Clean
EMB190,1,0.0826,210,Placard - 20kt
EMB190,FULL,0.1371,130,
EMB195,ZERO,0.0674,250,Clean
EMB195,1,0.0831,210,Placard - 20kt
EMB195,FULL,0.1374,130,
F10062,TO,0.0683,250,
F10062,INT2,0.0904,161.3,
F10062,U-INT,0.1124,141.3,
F10062,D-42,0.1565,131.3,
F10065,TO,0.0693,250,
F10065,INT2,0.0911,163.1,
F10065,U-INT,0.1129,143.1,
F10065,D-42,0.1565,133.1,
F28MK2,ZERO,0.0819,250,
F28MK2,INT2,0.1033,152.9,
F28MK2,U-INTR,0.1248,132.9,
F28MK2,D-42,0.1677,122.9,
F28MK4,ZERO,0.0755,250,
F28MK4,INT2,0.0971,153.6,
F28MK4,U-INTR,0.1187,133.6,
F28MK4,D-42,0.1619,123.6,
FAL20,ZERO,0.07,250,
FAL20,INTR,0.084391,142.2,
FAL20,D-25,0.117238,126.1,
FAL20,D-40,0.136348,124.2,
GII,L-0-U,0.0751,230,
GII,L-10-U,0.0852,170,
GII,L-20-D,0.1138,153.6,
GII,L-39-D,0.1742,143.6,
GIIB,L-0-U,0.0722,230,
GIIB,L-10-U,0.0735,170,
GIIB,L-20-D,0.1091,149.2,
GIIB,L-39-D,0.1509,139.2,
GIV,L-0-U,0.06,250,
GIV,L-20-D,0.1063,160,
GIV,L-39-D,0.1403,151.5,
GV,L-0-U,0.0617,250,
GV,L-20-U,0.0749,160,
GV,L-20-D,0.0974,160,
GV,L-39-D,0.1328,137.8,
HS748A,ZERO,0.075,160,
HS748A,INTR,0.088176,110.1,
HS748A,D-INTR,0.106745,100.1,
HS748A,D-30,0.13849,90.1,
IA1125,ZERO,0.07,250,
IA1125,INTR,0.085422,152.1,
IA1125,D-INTR,0.118618,142.1,
IA1125,D-40,0.136393,132.1,
L1011,ZERO,0.06243,250,
L1011,10,0.093396,160.5,
L1011,D-33,0.137671,162.9,
L1011,D-42,0.155717,145.5,
L10115,ZERO,0.06243,250,
L10115,10,0.093396,162.4,
L10115,D-33,0.140162,151.2,
L10115,D-42,0.155644,147.4,
L188,ZERO,0.082,200,
L188,INTR,0.120987,147.5,
L188,D-78-%,0.122326,135.6,
L188,D-100,0.174786,129.8,
LEAR25,ZERO,0.07,250,
LEAR25,10,0.09667,161.6,
LEAR25,D-INTR,0.149986,151.6,
LEAR25,D-40,0.176632,141.7,
LEAR35,ZERO,0.07,250,
LEAR35,10,0.089112,144.5,
LEAR35,D-INTR,0.129456,134.5,
LEAR35,D-40,0.150688,127.8,
MD9025,U-0,0.0876,185,
MD9025,D-28,0.1181,154,
MD9025,D-40,0.1412,145.3,
MD9028,U-0,0.0876,185,
MD9028,D-28,0.1181,154,
MD9028,D-40,0.1412,145.3,
MU3001,ZERO,0.07,250,
MU3001,1,0.08188,133.8,
MU3001,D-INTR,0.114684,123.8,
MU3001,D-30,0.147487,117.1,
PA30,ZERO-A,0.078131,120,
PA30,27-A,0.104586,109,
PA42,ZERO-A,0.087856,151,
PA42,30-DN,0.14679,111,
SD330,ZERO,0.075,160,
SD330,INTR,0.106596,120.2,
SD330,D-15,0.109263,106.5,
SD330,D-35,0.143475,100.2,
SF340,ZERO,0.075,160,
SF340,5,0.105831,136.9,
SF340,D-INTR,0.111456,126.9,
SF340,D-35,0.147912,116.9,
